Term,Coll,Dept,SUBJ,CATNUM,SEC,BGN UNITS,GD UNITS,Count,NR-COUNT,INTERNATIONAL COUNT,XE COUNT,TOTAL,UNITS,LVL,GE
2209,AL,COMM,COMM,1200,80,0,0,0,0,0,10,10,3,1,A3
2209,AL,COMM,COMM,1510,1,4,0,4,0,0,0,4,1,1,
2209,AL,COMM,COMM,1510,1,4,0,4,0,0,0,4,1,1,
2209,AL,COMM,COMM,1510,2,0,0,4,0,0,0,4,0,1,
2209,AL,COMM,COMM,1510,2,0,0,4,0,0,0,4,0,1,
2209,AL,COMM,COMM,1510,2,0,0,13,0,0,0,13,0,1,
2209,AL,COMM,COMM,1510,3,5,1,6,0,0,0,6,1,1,
2209,AL,COMM,COMM,1510,4,0,0,11,2,0,1,12,0,1,
2209,AL,COMM,COMM,1510,4,0,0,6,0,0,0,6,0,1,
2209,AL,COMM,COMM,1510,4,0,0,12,0,2,0,12,0,1,
2209,AL,COMM,COMM,3000,80,0,0,0,0,0,8,8,3,2,
2209,AL,COMM,COMM,3100,80,0,0,0,0,0,8,8,3,2,
2209,AL,COMM,COMM,3100,80,0,0,0,0,0,12,12,3,2,
2209,AL,COMM,COMM,3200,80,0,0,0,0,0,6,6,3,2,
2209,AL,COMM,COMM,3300,80,0,0,0,0,0,15,15,3,2,
2209,AL,COMM,COMM,3835,80,0,0,0,0,0,21,21,3,2,UD C
2209,AL,COMM,COMM,3835,80,0,0,0,0,0,19,19,3,2,UD C
2209,AL,COMM,COMM,3850,80,0,0,0,0,0,9,9,3,2,UD C
2209,AL,COMM,COMM,3855,80,0,0,0,0,0,9,9,3,2,UD D
2209,AL,COMM,COMM,3890,80,0,0,0,0,0,13,13,3,2,UD D
2209,AL,COMM,COMM,3890,80,0,0,0,0,0,8,8,3,2,UD D
2209,AL,COMM,COMM,3890,80,0,0,0,0,0,0,0,3,2,UD D
2209,AL,COMM,COMM,3980,1,2,0,1,0,0,0,1,2,2,
2209,AL,COMM,COMM,3980,1,0,0,0,0,0,0,0,1,2,
2209,AL,COMM,COMM,3980,2,0,0,0,0,0,0,0,2,2,
2209,AL,COMM,COMM,3980,3,0,0,0,0,0,0,0,3,2,
2209,AL,COMM,COMM,4180,1,27,0,9,1,0,0,9,3,2,
2209,AL,COMM,COMM,4180,80,0,0,0,0,0,5,5,3,2,
2209,AL,COMM,COMM,4180,80,0,0,0,0,0,4,4,3,2,
2209,AL,COMM,COMM,4310,80,0,0,0,0,0,10,10,3,2,
2209,AL,COMM,COMM,4390,80,0,0,0,0,0,12,12,3,2,
2209,AL,COMM,COMM,4410,80,0,0,0,0,0,11,11,3,2,
2209,AL,COMM,COMM,4410,80,0,0,0,0,0,9,9,3,2,
2209,AL,COMM,COMM,4410,80,0,0,0,0,0,0,0,3,2,
2209,AL,COMM,COMM,4990,2,1,0,1,0,0,0,1,1,2,
2209,AL,COMM,COMM,4990,2,1,0,1,0,0,0,1,1,2,
2209,AL,COMM,COMM,4990,4,3,0,1,0,0,0,1,3,2,
